,name,price,style,volulme,ABV,origin,description
0,Lagunitas DayTime - 2L SUB Keg,£ 13.99,IPA,2 Litres,4.0%,United States of America,DayTime IPA is everything you want a session IPA to be - a session beer that doesnt skimp on flavor. It is a gentle canvas of malts and fluffy oats splashed with a cannonball of hops - lots of Centennial and Citra hops.
1,Heineken Beer Glass Case,£ 20.99,,,,,"When you draught or pour a Heineken beer, you need to serve it in a real Heineken glass. Of course!
This case contains 6 Heineken Beer Glasses.
Content: 300ml
Serving suggestion: 250ml
Dishwasher safe (We recommend washing your glasses by hand!)"
2,Gösser Zwickl - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.2%,Austria,"This Austrian Zwickl or Kellerbier, is unfiltered and therefore naturally cloudy. It is brewed with four different types of malt and Celeia-aroma hop from Leutschach in Styria, Austria. The beer is soft in character with a fruity and herbal finish."
3,St. Feuillien Blond - 2L SUB Keg,£ 17.99,Blond Beer,2 Litres,7.0%,Belgium,"A powerful and full-bodied beer with a golden colour and a big white fluffy head. St Feuillien is a relatively young beer but already recognized. The nose releases very complex spicy notes such as lime, celery, coriander, juniper berries and citrus fruits. Malt and hops are also part of the perfume of this beer. It leaves a bitter aftertaste."
4,Birra Moretti L'Autentica - 8L BLADE Keg,£ 36.99,Lager,8 Litres,4.6%,Italy,"Birra Moretti is one of the world's most beloved lagers - and with good reason! Light, refreshing and easy to drink, this beer is not only great for sharing with loved ones, but also a classic pub pint. Brewed traditionally with barley malt, this timeless brew is one of our bestselling kegs. Cheers! * Price includes VAT Please note: You may receive either Ricetta Originale or L'Autentica labelled Birra Moretti BLADE Kegs. This is not an error, these are exactly the same beer, same great taste."
5,Alfa - 8L BLADE Keg,£ 38.99,Lager,8 Litres,5.0%,Greece,"Alfa Hellenic Beer is a lager beer, with 5% alcohol content with it’s authentic Greek name and origin, that make it more familiar to Greeks and non-Greeks around the world. It is refreshing, easy to drink and brings to ones memory the authentic taste of Greece! Alfa’s unique light gold color and rich foam is the ultimate pleasure-maker."
6,Advent Calendar Beer Case 2022,£ 83.99,,,,,"The most wonderful time of the year is now even more wonderful - with our Advent Calendar Beer Case! Perfect for anyone who wants to treat themselves or others to a selection of beers from all over the world as part of their countdown to Christmas. Get your daily dose of Christmas cheer when you open each door and reveal a new surprise beer. Our beer experts have curated this year's selection to include festive favourites, exclusive releases and much more! So go on, give a bit of beery love this Christmas with Beerwulf - Father Christmas will be sure to notice!"
7,Zipfer Urtyp - 8L BLADE Keg,£ 37.99,Lager,8 Litres,5.4%,Austria,"This beer, brewed with 4 different hop strains, has a bright golden yellow shine and is full of flavour. Rich in extracts and fruity, with a hint of hops and subtle malt tones, Zipfer Urtyp is the epitome of a premium Austrian beer."
8,Gösser Radler - 2L SUB Keg,£ 8.99,Lager,2 Litres,2.0%,Austria,"Full-bodied Gösser and 100% natural lemon juice team up to ensure a refreshingly light beer experience - the GösserNaturRadler! The dash of natural lemon juice is what gives Gösser NaturRadler its slightly cloudy appearance. The low alcohol content, exclusively natural fructose and the absence of additives make Gösser NaturRadler a unique thirst quencher with a thoroughly harmonious taste."
9,Tiger Beer Glass Case,£ 27.99,,,,,
