,0,1,2,3,4,5,6,7,8,9,10,11
0,,1,"Bitcoin
BTC","$16,999.81",0.3%,-0.9%,-0.8%,"$19,710,581,337","$326,933,647,995",,,
1,,2,"Ethereum
ETH","$1,257.17",0.3%,-1.2%,-2.0%,"$4,341,308,535","$151,414,665,325",,,
2,,3,"Tether
USDT",$1.00,0.1%,0.1%,-0.0%,"$23,359,371,648","$65,789,947,371",,,
3,,4,"BNB
BNB",$283.52,0.4%,-2.2%,-3.1%,"$522,980,017","$46,285,670,120",,,
4,,5,"USD Coin
USDC",$1.00,0.1%,0.0%,0.0%,"$1,759,090,119","$42,905,392,695",,,
5,,6,"Binance USD
BUSD",$1.00,-0.0%,0.1%,-0.0%,"$5,382,855,665","$22,133,295,924",,,
6,,7,"XRP
XRP",$0.378532,0.5%,-2.2%,-3.6%,"$771,135,787","$19,072,043,378",,,
7,,8,"Dogecoin
DOGE",$0.089485,0.6%,-7.8%,-14.5%,"$946,517,293","$12,268,953,011",,,
8,,9,"Cardano
ADA",$0.306596,0.4%,-2.0%,-5.2%,"$175,317,280","$10,738,464,015",,,
9,,10,"Polygon
MATIC",$0.890421,0.2%,-2.1%,-3.5%,"$248,133,947","$7,968,081,179",,,
10,,11,"Polkadot
DOT",$5.16,0.4%,-2.3%,-8.0%,"$156,651,522","$6,084,939,233",,,
11,,12,"Lido Staked Ether
STETH","$1,243.68",0.2%,-1.2%,-1.9%,"$8,285,793","$5,958,054,943",,,
12,,13,"Litecoin
LTC",$74.92,0.5%,-2.9%,-3.1%,"$446,472,004","$5,374,835,851",,,
13,,14,"OKB
OKB",$21.01,0.0%,-1.2%,-3.6%,"$18,056,989","$5,287,049,951",,,
14,,15,"Shiba Inu
SHIB",$0.00000890,0.5%,-3.3%,-5.1%,"$161,490,316","$5,246,096,976",,,
15,,16,"Dai
DAI",$1.00,0.1%,0.2%,0.0%,"$210,363,046","$5,179,756,584",,,
16,,17,"TRON
TRX",$0.052797,0.1%,-3.3%,-1.0%,"$239,160,453","$4,860,272,139",,,
17,,18,"Solana
SOL",$13.23,0.2%,-2.9%,-4.0%,"$210,732,174","$4,845,835,036",,,
18,,19,"Uniswap
UNI",$5.85,0.4%,-3.4%,-6.8%,"$70,225,689","$4,412,857,290",,,
19,,20,"Avalanche
AVAX",$12.88,0.4%,-3.8%,-7.7%,"$138,774,523","$3,996,637,712",,,
20,,21,"LEO Token
LEO",$3.82,-0.1%,2.3%,0.4%,"$723,074","$3,566,772,525",,,
21,,22,"Wrapped Bitcoin
WBTC","$16,956.38",-0.0%,-0.9%,-0.8%,"$58,685,449","$3,393,680,873",,,
22,,23,"Chainlink
LINK",$6.67,0.4%,-3.2%,-10.5%,"$190,181,555","$3,279,849,012",,,
23,,24,"Toncoin
TON",$2.07,0.3%,9.0%,14.6%,"$43,347,263","$3,047,842,482",,,
24,,25,"Cosmos Hub
ATOM",$9.62,0.4%,-2.1%,-6.5%,"$101,664,425","$2,812,814,956",,,
25,,26,"Monero
XMR",$151.13,0.6%,0.3%,5.7%,"$95,580,109","$2,743,267,885",,,
26,,27,"Ethereum Classic
ETC",$18.43,0.4%,-4.0%,-5.9%,"$97,572,821","$2,549,125,763",,,
27,,28,"Stellar
XLM",$0.083403,0.4%,-2.3%,-5.5%,"$43,043,218","$2,146,159,734",,,
28,,29,"Bitcoin Cash
BCH",$105.23,0.3%,-3.3%,-5.5%,"$536,154,503","$2,026,629,771",,,
