,0,1,2,3,4,5,6,7,8,9,10,11
0,,1,"Bitcoin
BTC","$17,770.22 ",0.00%,3.50%,4.70%,"$28,952,683,188 ","$341,776,360,583 ",,,
1,,2,"Ethereum
ETH","$1,320.95 ",0.20%,3.70%,4.90%,"$8,731,669,703 ","$159,205,639,141 ",,,
2,,3,"Tether
USDT",$1.00 ,0.10%,0.00%,0.00%,"$42,969,856,139 ","$65,826,958,384 ",,,
3,,4,"USD Coin
USDC",$1.00 ,0.10%,0.10%,0.00%,"$3,683,191,169 ","$44,780,950,762 ",,,
4,,5,"BNB
BNB",$271.88 ,0.10%,-1.80%,-5.80%,"$2,471,670,033 ","$44,390,917,851 ",,,
5,,6,"XRP
XRP",$0.40 ,0.40%,1.60%,1.20%,"$1,353,733,855 ","$19,936,422,138 ",,,
6,,7,"Binance USD
BUSD",$1.00 ,0.00%,0.00%,-0.10%,"$14,053,398,383 ","$18,806,062,535 ",,,
7,,8,"Dogecoin
DOGE",$0.09 ,0.00%,1.50%,-10.40%,"$994,081,700 ","$12,524,935,529 ",,,
8,,9,"Cardano
ADA",$0.31 ,0.20%,1.70%,-2.60%,"$322,808,203 ","$10,938,578,007 ",,,
9,,10,"Polygon
MATIC",$0.92 ,-0.10%,0.90%,0.70%,"$518,831,587 ","$8,232,872,694 ",,,
10,,11,"Lido Staked Ether
STETH","$1,307.50 ",0.10%,3.80%,5.10%,"$11,929,361 ","$6,273,458,616 ",,,
11,,12,"Polkadot
DOT",$5.28 ,0.20%,2.20%,-3.80%,"$206,625,021 ","$6,240,860,347 ",,,
12,,13,"OKB
OKB",$22.82 ,-0.10%,7.70%,7.00%,"$28,936,494 ","$5,738,497,757 ",,,
13,,14,"Litecoin
LTC",$77.58 ,0.00%,1.70%,-3.30%,"$705,937,549 ","$5,571,878,860 ",,,
14,,15,"Shiba Inu
SHIB",$0.00 ,0.00%,2.70%,-2.60%,"$218,999,250 ","$5,407,096,054 ",,,
15,,16,"Dai
DAI",$1.00 ,0.00%,0.10%,0.10%,"$347,771,381 ","$5,166,463,561 ",,,
16,,17,"Solana
SOL",$13.82 ,0.30%,3.70%,-0.40%,"$392,127,654 ","$5,062,433,749 ",,,
17,,18,"TRON
TRX",$0.05 ,0.10%,1.70%,2.10%,"$318,178,716 ","$5,018,506,258 ",,,
18,,19,"Uniswap
UNI",$6.09 ,0.30%,2.80%,-1.40%,"$90,105,538 ","$4,591,457,959 ",,,
19,,20,"Avalanche
AVAX",$13.76 ,0.40%,5.90%,1.10%,"$295,813,205 ","$4,274,573,969 ",,,
20,,21,"Wrapped Bitcoin
WBTC","$17,774.77 ",0.10%,3.80%,4.80%,"$139,397,826 ","$3,541,421,658 ",,,
21,,22,"LEO Token
LEO",$3.72 ,-0.20%,-0.10%,-2.00%,"$877,572 ","$3,467,954,035 ",,,
