,0,1,2,3,4,5,6,7,8,9,10,11
0,,1,"Bitcoin
BTC","$17,031.62",0.1%,-0.7%,-0.7%,"$21,380,087,201","$327,548,183,736",,,
1,,2,"Ethereum
ETH","$1,252.33",0.1%,-1.6%,-2.3%,"$4,766,974,363","$150,991,225,896",,,
2,,3,"Tether
USDT",$1.00,0.0%,0.1%,0.1%,"$37,519,532,669","$65,849,874,787",,,
3,,4,"BNB
BNB",$275.94,-0.2%,-4.8%,-5.7%,"$581,916,250","$45,071,700,295",,,
4,,5,"USD Coin
USDC",$0.999433,-0.1%,-0.2%,-0.1%,"$1,972,962,615","$42,848,812,290",,,
5,,6,"Binance USD
BUSD",$0.999819,-0.1%,-0.1%,-0.2%,"$6,919,860,129","$22,107,914,105",,,
6,,7,"XRP
XRP",$0.375386,-0.0%,-3.1%,-4.4%,"$910,191,414","$18,972,059,257",,,
7,,8,"Dogecoin
DOGE",$0.088923,0.1%,-7.9%,-15.0%,"$1,024,932,841","$12,208,927,489",,,
8,,9,"Cardano
ADA",$0.305641,0.0%,-2.4%,-5.5%,"$192,571,874","$10,714,376,263",,,
9,,10,"Polygon
MATIC",$0.885875,0.1%,-2.4%,-4.0%,"$273,137,097","$7,925,381,732",,,
10,,11,"Polkadot
DOT",$5.14,-0.1%,-2.8%,-8.3%,"$174,184,539","$6,074,697,780",,,
11,,12,"Lido Staked Ether
STETH","$1,239.06",0.1%,-1.6%,-2.3%,"$13,937,210","$5,941,738,591",,,
12,,13,"Litecoin
LTC",$75.05,0.1%,-2.8%,-2.9%,"$482,239,135","$5,384,371,551",,,
13,,14,"OKB
OKB",$20.81,-1.1%,-2.0%,-4.5%,"$18,363,394","$5,257,761,618",,,
14,,15,"Shiba Inu
SHIB",$0.00000888,0.1%,-4.2%,-5.3%,"$166,571,769","$5,231,621,165",,,
15,,16,"Dai
DAI",$1.00,0.0%,-0.1%,-0.1%,"$191,492,275","$5,171,160,796",,,
16,,17,"TRON
TRX",$0.052547,-0.1%,-3.5%,-1.5%,"$271,725,873","$4,838,127,018",,,
17,,18,"Solana
SOL",$13.19,0.2%,-3.4%,-4.3%,"$236,385,238","$4,829,581,079",,,
18,,19,"Uniswap
UNI",$5.83,0.4%,-3.3%,-7.2%,"$72,968,076","$4,388,700,296",,,
19,,20,"Avalanche
AVAX",$12.79,0.1%,-4.8%,-8.3%,"$142,116,784","$3,977,323,710",,,
20,,21,"LEO Token
LEO",$3.83,0.5%,2.3%,0.6%,"$573,568","$3,557,827,094",,,
21,,22,"Wrapped Bitcoin
WBTC","$17,005.23",0.1%,-0.6%,-0.5%,"$62,620,580","$3,401,452,613",,,
22,,23,"Chainlink
LINK",$6.63,0.1%,-3.5%,-11.1%,"$212,210,792","$3,259,458,266",,,
23,,24,"Toncoin
TON",$2.09,2.7%,6.6%,15.9%,"$43,168,203","$3,055,944,235",,,
24,,25,"Cosmos Hub
ATOM",$9.58,-0.0%,-2.4%,-6.8%,"$103,502,571","$2,805,123,606",,,
25,,26,"Monero
XMR",$151.60,0.2%,1.0%,6.0%,"$115,753,857","$2,756,077,996",,,
26,,27,"Ethereum Classic
ETC",$18.35,0.1%,-4.4%,-6.3%,"$105,921,165","$2,541,375,201",,,
27,,28,"Stellar
XLM",$0.083504,0.2%,-2.3%,-5.4%,"$46,161,399","$2,150,614,823",,,
28,,29,"Bitcoin Cash
BCH",$105.56,0.1%,-3.1%,-5.2%,"$517,549,815","$2,033,655,948",,,
29,,30,"Quant
QNT",$117.91,0.3%,-1.8%,-8.5%,"$25,352,153","$1,712,610,143",,,
30,,31,"Cronos
CRO",$0.062063,0.2%,-2.7%,-4.7%,"$15,760,425","$1,569,732,806",,,
31,,32,"ApeCoin
APE",$4.28,-0.4%,1.6%,6.8%,"$433,779,167","$1,551,295,818",,,
32,,33,"Algorand
ALGO",$0.216976,0.4%,-4.6%,-10.1%,"$61,417,883","$1,543,742,933",,,
33,,34,"Filecoin
FIL",$4.23,0.0%,-3.6%,-7.5%,"$72,257,781","$1,424,422,456",,,
34,,35,"VeChain
VET",$0.01867763,0.0%,-3.9%,-3.5%,"$34,953,271","$1,355,606,379",,,
35,,36,"NEAR Protocol
NEAR",$1.60,-0.0%,-5.2%,-7.7%,"$76,606,832","$1,339,410,596",,,
36,,37,"Hedera
HBAR",$0.04691302,-0.0%,-3.7%,-2.8%,"$16,263,921","$1,169,477,597",,,
37,,38,"Internet Computer
ICP",$4.16,0.2%,-5.4%,-4.4%,"$23,804,060","$1,158,460,663",,,
38,,39,"MultiversX (Elrond)
EGLD",$44.34,-0.2%,-2.4%,2.2%,"$20,074,759","$1,062,314,419",,,
39,,40,"EOS
EOS",$0.976028,0.4%,-6.6%,4.6%,"$148,845,176","$1,061,460,139",,,
40,,41,"Frax
FRAX",$0.999791,-0.0%,-0.1%,0.1%,"$9,402,385","$1,023,420,511",,,
41,,42,"Trust Wallet
TWT",$2.40,0.3%,-9.5%,-1.4%,"$182,696,944","$1,001,698,256",,,
42,,43,"Terra Luna Classic
LUNC",$0.00016968,2.2%,-0.4%,-3.9%,"$59,481,606","$1,001,494,127",,,
43,,44,"Flow
FLOW",$0.940341,0.1%,-8.3%,-17.3%,"$42,317,540","$973,651,740",,,
44,,45,"Bitcoin SV
BSV",$46.75,-1.2%,5.1%,10.7%,"$66,123,196","$897,580,579",,,
45,,46,"Tezos
XTZ",$0.958780,0.2%,-5.2%,-5.2%,"$19,148,759","$871,409,719",,,
46,,47,"Axie Infinity
AXS",$7.63,-0.1%,-6.4%,10.3%,"$91,214,005","$869,355,263",,,
47,,48,"The Sandbox
SAND",$0.551363,-0.2%,-5.2%,-7.0%,"$95,876,742","$868,153,162",,,
48,,49,"Aave
AAVE",$59.16,0.2%,-3.2%,-8.3%,"$45,640,702","$840,013,584",,,
49,,50,"Theta Network
THETA",$0.831238,0.3%,-3.5%,-7.0%,"$18,741,592","$830,883,303",,,
50,,51,"Lido DAO
LDO",$1.02,1.4%,-1.2%,-8.2%,"$7,441,404","$826,855,094",,,
51,,52,"Huobi
HT",$6.22,0.1%,-3.5%,-7.0%,"$10,626,235","$815,299,315",,,
52,,53,"Chain
XCN",$0.03704626,-0.1%,-1.5%,-3.4%,"$8,031,382","$797,337,710",,,
53,,54,"Pax Dollar
USDP",$0.997856,-0.1%,-0.1%,-0.3%,"$3,224,613","$766,278,002",,,
54,,55,"TrueUSD
TUSD",$0.999206,-0.1%,-0.1%,-0.1%,"$40,657,379","$756,435,680",,,
55,,56,"Chiliz
CHZ",$0.137117,0.5%,-8.5%,-18.4%,"$197,744,878","$731,490,404",,,
56,,57,"USDD
USDD",$0.978926,-0.1%,0.4%,-0.4%,"$87,430,648","$710,687,234",,,
57,,58,"Decentraland
MANA",$0.380097,0.2%,-5.0%,-7.6%,"$41,396,483","$690,233,335",,,
58,,59,"KuCoin
KCS",$6.56,0.0%,-1.2%,0.8%,"$766,341","$639,470,621",,,
59,,60,"BitTorrent
BTT",$0.000000666876,-0.7%,-2.7%,-4.8%,"$19,047,703","$634,902,165",,,
60,,61,"PancakeSwap
CAKE",$3.86,-0.1%,-3.1%,-3.4%,"$35,457,649","$612,926,917",,,
61,,62,"Zcash
ZEC",$45.92,0.5%,-0.2%,-0.1%,"$54,179,925","$599,543,467",,,
62,,63,"Gemini Dollar
GUSD",$0.999953,-0.0%,-0.1%,-0.2%,"$820,300","$592,993,481",,,
63,,64,"Fantom
FTM",$0.231622,-0.3%,-3.7%,-4.6%,"$97,905,064","$589,409,104",,,
64,,65,"cUSDC
CUSDC",$0.02269253,-0.1%,-0.1%,-0.0%,$117,"$586,732,352",,,
65,,66,"Aptos
APT",$4.44,0.1%,-8.0%,-15.3%,"$60,573,162","$577,014,288",,,
66,,67,"WhiteBIT Token
WBT",$4.67,-0.1%,-1.0%,-3.2%,"$4,841,347","$560,239,212",,,
67,,68,"IOTA
MIOTA",$0.200391,0.3%,-4.7%,-6.1%,"$10,567,721","$556,768,111",,,
68,,69,"Tokenize Xchange
TKX",$6.95,-0.2%,-1.9%,-9.8%,"$17,463,612","$555,809,305",,,
69,,70,"eCash
XEC",$0.00002877,-0.1%,-2.9%,-3.6%,"$6,401,653","$554,145,813",,,
70,,71,"Klaytn
KLAY",$0.180235,0.3%,-3.1%,-4.8%,"$24,097,124","$545,922,328",,,
71,,72,"NEO
NEO",$7.66,-0.6%,-0.7%,10.6%,"$66,696,277","$541,558,054",,,
72,,73,"Dash
DASH",$48.04,-0.6%,2.5%,6.8%,"$81,852,345","$533,410,712",,,
73,,74,"Maker
MKR",$591.36,0.0%,-3.4%,-9.1%,"$17,791,914","$532,676,368",,,
74,,75,"Gate
GT",$3.58,-0.1%,-0.6%,-1.0%,"$1,617,622","$520,496,957",,,
75,,76,"The Graph
GRT",$0.068348,0.8%,-2.4%,6.5%,"$37,359,734","$505,741,457",,,
76,,77,"GMX
GMX",$58.49,1.0%,3.4%,9.9%,"$34,514,760","$485,619,510",,,
77,,78,"PAX Gold
PAXG","$1,788.49",-0.1%,-0.5%,-0.0%,"$12,508,248","$485,310,926",,,
78,,79,"Osmosis
OSMO",$0.909552,-0.1%,-7.3%,-8.1%,"$20,261,671","$450,588,635",,,
