,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
0,Toyoko Inn Seoul Gangnam,,"BDT 6,195",8.9 km from centre,Very good,8.3,"1,968 reviews"
1,Bong Cheon Yeon Ga,,"BDT 32,653",8.5 km from centre,,,
2,Jongro Wellbeingtel,,"BDT 1,712",0.9 km from centre,Good,7.7,153 reviews
3,Seoul N Guesthouse Dongdaemoon,,"BDT 1,866",3.7 km from centre,Good,7.9,300 reviews
4,Hotelette Seoul Station,,,1 km from centre,Very good,8.2,263 reviews
5,Seoul N Hotel Dongdaemun,,"BDT 2,054",3.7 km from centre,Good,7.4,"1,166 reviews"
6,Hotel Stay Inn Seoul Station,,,1.3 km from centre,Good,7.5,240 reviews
7,Step Inn Myeongdong 1,"BDT 14,196","BDT 4,259",450 m from centre,Very good,8.2,552 reviews
8,Hotel Daewoo Inn,,"BDT 4,646",300 m from centre,Good,7.9,46 reviews
9,Ibis Styles Ambassador Seoul Gangnam,,"BDT 7,622",9.2 km from centre,Good,7.7,545 reviews
10,Step Inn Myeongdong 2,"BDT 12,545","BDT 3,764",450 m from centre,Very good,8.0,621 reviews
11,Cheonggye Haus,,"BDT 4,104",1.7 km from centre,Very good,8.4,164 reviews
12,Hause Itaewon,"BDT 4,891","BDT 2,543",3.1 km from centre,Good,7.6,438 reviews
13,Namsan Gil House,"BDT 13,042","BDT 4,565",0.6 km from centre,Very good,8.4,74 reviews
14,Happy & House,,"BDT 3,016",8.8 km from centre,,,
15,Travelodge Dongdaemun Seoul,,,1.9 km from centre,Good,7.8,305 reviews
16,H HOSTEL Itaewon,,"BDT 4,076",3.5 km from centre,Superb,9.2,26 reviews
17,Staz Hotel Myeongdong 2,,"BDT 9,112",0.8 km from centre,Good,7.7,811 reviews
18,Dongdaemun Studio,"BDT 4,891","BDT 3,913",5.3 km from centre,,,
19,Union Motel,,"BDT 8,151",3.2 km from centre,Fabulous,8.7,3 reviews
20,Upflo Hostel,,"BDT 5,942",8.2 km from centre,Fabulous,8.9,206 reviews
21,Grid Inn Hotel,,,1.2 km from centre,Fabulous,8.7,380 reviews
22,Hotel Skypark Dongdaemun I,,,1.9 km from centre,Very good,8.2,515 reviews
23,1012 House Namsan,,"BDT 5,421",0.5 km from centre,Very good,8.0,85 reviews
24,Batwo Stay - 외국인 전용,,"BDT 2,274",5.4 km from centre,Exceptional,9.6,152 reviews
25,Seoul Forest Stay,,"BDT 2,201",5.8 km from centre,Very good,8.5,120 reviews
26,Rodemhouse,,"BDT 3,261",7.2 km from centre,Review score,6.6,42 reviews
27,K-POP Residence Myeongdong 1,"BDT 6,603","BDT 4,556",450 m from centre,Good,7.5,154 reviews
28,The One Hostel Hongdae in Seoul - 외국인 전용숙소,"BDT 2,282","BDT 1,712",5.5 km from centre,Very good,8.5,158 reviews
29,K-Grand Hotel Seoul,,"BDT 6,603",1.3 km from centre,Review score,6.8,236 reviews
30,Hotel Peyto Samseong,,"BDT 10,760",9.1 km from centre,Good,7.9,556 reviews
31,G3 Hotel Chungmuro,"BDT 11,331","BDT 8,498",1 km from centre,Superb,9.2,20 reviews
32,E Livingtel,,,8.2 km from centre,Review score,6.0,161 reviews
33,Hotel MIDO Myeongdong,"BDT 13,205","BDT 7,923",400 m from centre,Good,7.0,463 reviews
34,Hotel Entra Gangnam,"BDT 17,557","BDT 12,290",7.3 km from centre,Good,7.1,126 reviews
35,Calistar Hotel,"BDT 6,100","BDT 3,660",400 m from centre,Good,7.2,153 reviews
36,Travelodge Myeongdong City Hall,,"BDT 10,491",300 m from centre,Very good,8.5,230 reviews
37,Asan Residence,,"BDT 2,608",12.5 km from centre,Good,7.8,243 reviews
38,Hongdae Cheese Guesthouse,,"BDT 1,793",4.5 km from centre,Fabulous,8.9,127 reviews
39,Ibis Ambassador Myeongdong,,"BDT 9,700",300 m from centre,Very good,8.2,405 reviews
40,Ibis Styles Ambassador Seoul Myeong-dong,,"BDT 11,412",0.7 km from centre,Good,7.9,703 reviews
41,AC Hotel by Marriott Seoul Gangnam,,"BDT 18,148",8.3 km from centre,Fabulous,8.6,150 reviews
42,LOTTE City Hotel Myeongdong,"BDT 15,692","BDT 14,593",0.8 km from centre,Very good,8.5,"2,275 reviews"
43,Moxy Seoul Insadong,,"BDT 12,912",1.4 km from centre,Very good,8.5,186 reviews
44,Dream Guesthouse,,"BDT 2,283",0.6 km from centre,Very good,8.5,171 reviews
45,"Four Points by Sheraton Josun, Seoul Station",,"BDT 13,450",1.4 km from centre,Very good,8.2,"2,577 reviews"
46,The Recenz Dongdaemun Hotel,,,7.1 km from centre,Good,7.9,167 reviews
47,Starria Hostel,,"BDT 9,007",0.6 km from centre,Fabulous,8.8,120 reviews
48,Hotel POCO,,"BDT 11,738",7 km from centre,Good,7.7,244 reviews
49,New Seoul Hotel Myeongdong,,,0.7 km from centre,Very good,8.0,379 reviews
50,Baiton Seoul Dongdaemun,,"BDT 7,173",1.9 km from centre,Good,7.8,288 reviews
51,Mayplace Seoul Dongdaemun,"BDT 9,537","BDT 9,060",2.2 km from centre,Good,7.9,383 reviews
52,Fairfield by Marriott Seoul,,"BDT 11,983",8.1 km from centre,Good,7.7,566 reviews
53,"Four Points by Sheraton Seoul, Guro",,"BDT 12,553",11.4 km from centre,Very good,8.4,575 reviews
54,Mercure Ambassador Seoul Hongdae,,"BDT 16,564",5.2 km from centre,Superb,9.0,"1,088 reviews"
55,Hotel Manu Seoul,,"BDT 13,083",0.8 km from centre,Very good,8.3,288 reviews
56,Charm Hotel,,"BDT 4,891",3.3 km from centre,Good,7.4,336 reviews
57,Hotel Skypark Myeongdong 2,,,450 m from centre,Very good,8.0,370 reviews
58,Dormy Inn SEOUL Gangnam,,,7.6 km from centre,Fabulous,8.8,"1,470 reviews"
59,BB Hongdae,"BDT 6,779","BDT 4,068",4.9 km from centre,Good,7.5,272 reviews
60,Shilla Stay Yeoksam,"BDT 22,417","BDT 14,122",8.3 km from centre,Good,7.7,799 reviews
61,ibis Ambassador Insadong,,"BDT 9,782",1.6 km from centre,Good,7.8,474 reviews
62,ENA Suite Hotel Namdaemun,"BDT 12,227","BDT 11,249",0.7 km from centre,Fabulous,8.7,"1,540 reviews"
63,Ekonomy Hotel Myeongdong Premier,,,300 m from centre,Good,7.1,149 reviews
64,Hotel Skypark Kingstown Dongdaemun,,,2.5 km from centre,Very good,8.4,936 reviews
65,Imperial Palace Boutique Hotel,,,3.3 km from centre,Good,7.8,726 reviews
66,LOTTE City Hotel Guro,"BDT 13,450","BDT 12,508",11.4 km from centre,Fabulous,8.7,970 reviews
67,Hotel28 Myeongdong,,,350 m from centre,Superb,9.3,663 reviews
68,Well Plus Guest House,,"BDT 5,543",0.6 km from centre,Fabulous,8.9,167 reviews
69,Hotel Gracery Seoul,,"BDT 12,589",400 m from centre,Fabulous,8.7,"1,732 reviews"
70,Shilla Stay Gwanghwamun,"BDT 26,900","BDT 16,140",1.2 km from centre,Good,7.8,"1,867 reviews"
71,Hotel President,,,400 m from centre,Very good,8.3,866 reviews
72,Hotel Thomas Myeongdong,,,300 m from centre,Very good,8.5,607 reviews
73,Crown Park Hotel Seoul,,,200 m from centre,Very good,8.5,"1,879 reviews"
74,Time Travelers Party Hostel In Hongdae,,"BDT 2,038",4.7 km from centre,Review score,6.9,128 reviews
75,Shilla Stay Mapo,"BDT 31,383","BDT 15,692",3.5 km from centre,Good,7.7,"1,377 reviews"
76,Daeyoung Hotel Myeongdong,,"BDT 7,173",400 m from centre,Fabulous,8.9,202 reviews
77,ibis Styles Ambassador Seoul Yongsan,,"BDT 13,205",3.7 km from centre,Good,7.9,673 reviews
78,Seoul Riviera Hotel,,,7.7 km from centre,Good,7.9,358 reviews
79,GLAD Mapo,,,3.4 km from centre,Fabulous,8.8,"2,025 reviews"
80,Apollo Guesthouse,"BDT 4,565","BDT 2,511",8.9 km from centre,Good,7.8,274 reviews
81,"Holiday Inn Express Seoul Hongdae, an IHG Hotel",,"BDT 16,050",4.8 km from centre,Fabulous,8.6,"1,123 reviews"
82,Birdsnest Hostel Hongdae Foreigner only,,"BDT 1,321",5.3 km from centre,Review score,6.7,227 reviews
83,Hotel 8 Hours,"BDT 27,715","BDT 9,146",300 m from centre,Very good,8.3,"1,002 reviews"
84,Aloft Seoul Gangnam,,"BDT 10,760",7.8 km from centre,Very good,8.1,418 reviews
85,Hotel Prince Seoul,,,450 m from centre,Very good,8.2,209 reviews
86,"Four Points by Sheraton Josun, Seoul Myeongdong",,"BDT 14,347",0.8 km from centre,Fabulous,8.7,"1,119 reviews"
87,Hotel Skypark Myeongdong 3,,,0.6 km from centre,Very good,8.2,656 reviews
88,Line Hotel Myeongdong,,,450 m from centre,Good,7.6,157 reviews
89,Mini Hotel Insa,,"BDT 6,521",1.5 km from centre,Very good,8.3,158 reviews
90,Amare Hotel Jongno,,"BDT 16,303",1.3 km from centre,Fabulous,8.6,155 reviews
91,Korstay Guesthouse Seoul Station,"BDT 7,988","BDT 3,994",1.9 km from centre,Good,7.6,153 reviews
92,LOTTE City Hotel Mapo,"BDT 16,140","BDT 15,010",3.3 km from centre,Very good,8.5,893 reviews
93,Mondrian Seoul Itaewon,,"BDT 18,341",3.8 km from centre,Very good,8.2,559 reviews
94,GLAD Gangnam COEX Center,,,9.4 km from centre,Very good,8.2,"1,713 reviews"
