,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
0,Hotel Firststay Myeongdong,US$187,US$62,400 m from centre,Fabulous,8.9,383 reviews
1,The garden hotel,US$47,US$44,1.6 km from centre,Fabulous,8.6,51 reviews
2,Inno Hostel & Pub Lounge Hongdae,US$44,US$31,6 km from centre,Very good,8.5,261 reviews
3,24 Guesthouse Seoul Station,US$59,US$35,1.3 km from centre,Very good,8.1,134 reviews
4,G Guesthouse Itaewon In Seoul,US$31,US$19,3.4 km from centre,Very good,8.1,278 reviews
5,K-Grand Hotel Myeongdong,US$72,US$43,300 m from centre,Review score,6.8,126 reviews
6,O2 Oneroomtel-Hyehwa,US$15,US$14,2.8 km from centre,Review score,6.5,2 reviews
7,Seoul N Guesthouse Dongdaemoon,US$17,US$16,3.7 km from centre,Good,7.8,293 reviews
8,Jongro Wellbeingtel,,US$12,0.9 km from centre,Good,7.7,141 reviews
9,Myeongdong Guesthouse Como,US$95,US$47,0.6 km from centre,Fabulous,8.6,267 reviews
10,Central Tourist Hotel,US$55,US$47,1.3 km from centre,Review score,6.2,93 reviews
11,Toyoko Inn Seoul Yeongdeungpo,,US$57,7.8 km from centre,Very good,8.5,"1,065 reviews"
12,H HOSTEL Itaewon,US$35,US$33,3.5 km from centre,Superb,9.4,17 reviews
13,Step Inn Myeongdong 1,US$108,US$31,450 m from centre,Very good,8.2,553 reviews
14,BB Hongdae,US$26,US$15,4.9 km from centre,Good,7.4,272 reviews
15,1012 House Namsan,US$47,US$36,0.5 km from centre,Very good,8.0,93 reviews
16,Asan Residence,,US$21,12.5 km from centre,Good,7.8,236 reviews
17,57 Myeongdong Hostel,US$51,US$48,200 m from centre,Very good,8.2,"1,097 reviews"
18,Philstay Myeongdong Boutique Female,US$59,US$29,350 m from centre,Good,7.8,203 reviews
19,Insadong Hostel,US$23,US$22,1.5 km from centre,Fabulous,8.6,211 reviews
20,K-Grand Hotel Seoul,US$61,US$58,1.3 km from centre,Good,7.0,241 reviews
21,Golden Seoul Hotel,,US$57,9.2 km from centre,Good,7.8,315 reviews
22,Hause Itaewon,US$31,US$16,3.1 km from centre,Good,7.6,438 reviews
23,Line Hotel Myeongdong,,US$54,450 m from centre,Good,7.6,160 reviews
24,Hotel 8 Hours,,US$61,300 m from centre,Very good,8.3,"1,002 reviews"
25,Line Hotel Myeongdong,,US$54,450 m from centre,Good,7.6,160 reviews
26,Hotel 8 Hours,,US$61,300 m from centre,Very good,8.3,"1,002 reviews"
27,K-POP Residence Myeongdong 1,US$62,US$41,450 m from centre,Good,7.6,143 reviews
28,Humanville,,US$23,9.7 km from centre,Good,7.4,76 reviews
29,Mong Hotel -Le Mong,US$62,US$59,1 km from centre,Good,7.1,31 reviews
30,The Recenz Dongdaemun Hotel,US$46,US$44,7.1 km from centre,Good,7.9,162 reviews
31,Able Guesthouse Hongdae,US$19,US$18,4.8 km from centre,Very good,8.4,276 reviews
32,Calistar Hotel,US$52,US$30,400 m from centre,Good,7.4,146 reviews
33,Ibis Styles Ambassador Seoul Gangnam,,US$90,9.2 km from centre,Good,7.6,537 reviews
34,Star Hostel Seoul Dongdaemun,US$12,US$12,2.2 km from centre,Review score,6.2,214 reviews
35,BUTLERLee JL,US$97,US$93,5.1 km from centre,Very good,8.4,260 reviews
36,Golden Seoul Hotel,,US$57,9.2 km from centre,Good,7.8,315 reviews
37,Glue Hotel,US$138,US$64,2.5 km from centre,Very good,8.4,"1,514 reviews"
38,Ekonomy Hotel Myeongdong Premier,US$50,US$47,300 m from centre,Good,7.1,151 reviews
39,Royal Square Hotel Seoul,US$69,US$65,15.1 km from centre,Very good,8.5,473 reviews
40,The One Hostel Hongdae in Seoul - 외국인 전용숙소,US$23,US$22,5.5 km from centre,Very good,8.4,147 reviews
41,Green Park Hotel,US$51,US$48,1.3 km from centre,,,
42,Shilla Stay Yeoksam,,US$128,8.3 km from centre,Good,7.7,795 reviews
43,Agit Guesthouse,US$20,US$19,2.8 km from centre,Superb,9.1,37 reviews
44,KSTAR METRO Hotel,US$81,US$50,2.3 km from centre,Good,7.1,93 reviews
45,Shilla Stay Seodaemun,US$275,US$131,1.3 km from centre,Very good,8.0,"1,155 reviews"
46,Huayuanhouse HQ in hongdae,US$20,US$19,5.3 km from centre,Very good,8.0,249 reviews
47,Hi Jun Guesthouse,US$59,US$56,6 km from centre,Superb,9.2,243 reviews
48,"Four Points by Sheraton Seoul, Guro",,US$120,11.4 km from centre,Very good,8.4,582 reviews
49,Time Travelers Party Hostel In Hongdae,US$19,US$18,4.7 km from centre,Review score,6.9,125 reviews
50,K-Guesthouse Dongdaemun,US$52,US$49,1.9 km from centre,Good,7.5,156 reviews
51,K-POP Hotel Seoul Tower,US$39,US$37,0.7 km from centre,Review score,5.8,69 reviews
52,Travelodge Dongdaemun Seoul,,US$76,1.9 km from centre,Good,7.8,303 reviews
53,HOTEL in 9 Gangnam,,US$108,8.7 km from centre,Good,7.9,383 reviews
54,Galaxy Hotel,US$30,US$28,7.5 km from centre,Good,7.2,165 reviews
55,Hongdae Cheese Guesthouse,,US$20,4.5 km from centre,Fabulous,8.9,132 reviews
56,Myeongdong Misskorea,US$27,US$26,450 m from centre,Superb,9.0,6 reviews
57,Namsan Forest in Myeongdong,US$67,US$48,400 m from centre,Good,7.3,321 reviews
58,Hotel The Designers DDP,,US$84,2 km from centre,Review score,6.8,117 reviews
59,Hotel Daewoo Inn,US$78,US$74,300 m from centre,Good,7.8,42 reviews
60,Hotel The Designers Jongro,US$70,US$66,1.1 km from centre,Review score,6.1,34 reviews
61,That House Hongdae,US$15,US$14,4.5 km from centre,Very good,8.5,291 reviews
62,Hotel Peyto Samseong,,US$129,9.1 km from centre,Good,7.9,558 reviews
63,Bonum 1957 Hanok and Boutique,,US$89,2.2 km from centre,Good,7.5,85 reviews
64,Yakorea Hostel Dongdaemun,US$20,US$19,2.8 km from centre,Very good,8.3,361 reviews
65,boutique hotel k Dongdaemun,US$37,US$36,6.8 km from centre,Review score,6.5,129 reviews
66,Korstay Guesthouse Seoul Station,US$61,US$29,1.9 km from centre,Good,7.7,153 reviews
67,Orbit -외국인전용,US$61,US$58,5 km from centre,Very good,8.2,365 reviews
68,Hotel POCO,,US$91,7 km from centre,Good,7.7,236 reviews
69,Myeongdong Merlin Hotel,US$109,US$67,1.6 km from centre,Good,7.2,157 reviews
70,Boutique Hotel SB Yeouido,US$104,US$59,7.9 km from centre,Review score,6.7,484 reviews
71,Dormy Inn SEOUL Gangnam,,US$109,7.6 km from centre,Fabulous,8.7,"1,513 reviews"
72,Hotel Irene City,,US$56,300 m from centre,Good,7.3,85 reviews
73,Birdsnest Hostel Hongdae Foreigner only,US$14,US$13,5.3 km from centre,Review score,6.8,227 reviews
74,Shilla Stay Mapo,US$283,US$135,3.5 km from centre,Good,7.7,"1,363 reviews"
75,Best Western Premier Gangnam Hotel,US$155,US$103,7.5 km from centre,Very good,8.1,993 reviews
76,Harmony Hotel,US$74,US$70,14.1 km from centre,Very good,8.2,241 reviews
77,Dalgona Guesthouse,,US$41,2 km from centre,Very good,8.1,129 reviews
78,K-POP Hotel Seoul Station,,US$74,1 km from centre,Good,7.2,98 reviews
79,LOTTE City Hotel Gimpo Airport,US$120,US$117,15.7 km from centre,Very good,8.4,974 reviews
80,Hotel The Designers Kondae,,US$91,8.4 km from centre,Review score,6.9,48 reviews
81,New Kukje Hotel,,US$100,0.7 km from centre,Very good,8.5,420 reviews
82,L7 Gangnam by LOTTE,,US$139,8.8 km from centre,Very good,8.5,"1,486 reviews"
83,Shilla Stay Guro,,US$103,10.9 km from centre,Very good,8.0,"1,525 reviews"
84,K-Grand Hostel Dongdaemun,US$109,US$52,4.5 km from centre,Very good,8.1,190 reviews
85,Seoul Cube Itaewon,US$27,US$26,3.4 km from centre,Very good,8.3,234 reviews
86,Daeyoung Hotel Myeongdong,US$70,US$63,400 m from centre,Fabulous,8.9,190 reviews
87,La Casa Hotel Seoul,,US$97,5.6 km from centre,Very good,8.0,281 reviews
88,Mayplace Seoul Dongdaemun,US$112,US$106,2.2 km from centre,Good,7.9,366 reviews
89,Shilla Stay Gwanghwamun,US$258,US$147,1.2 km from centre,Good,7.8,"1,869 reviews"
90,Hotel Star Gangnam,US$77,US$73,8.4 km from centre,Good,7.5,726 reviews
91,Hotel Skypark Myeongdong 2,,US$83,450 m from centre,Very good,8.1,361 reviews
92,Aloft Seoul Gangnam,,US$129,7.8 km from centre,Very good,8.0,412 reviews
93,Hotel The Designers LYJ Gangnam Premier,,US$98,7.5 km from centre,Review score,6.8,424 reviews
94,Kimstay 9,US$69,US$30,11.1 km from centre,Very good,8.1,145 reviews
95,OYO Hostel Myeongdong 3,,US$37,400 m from centre,Very good,8.1,310 reviews
96,ibis Ambassador Insadong,,US$94,1.6 km from centre,Good,7.8,499 reviews
97,Casa Cielo,US$31,US$30,1.9 km from centre,Superb,9.1,22 reviews
98,Staz Hotel Doksan,US$67,US$64,13.4 km from centre,Fabulous,8.6,524 reviews
99,Hotel MIDO Myeongdong,US$162,US$92,400 m from centre,Good,7.1,463 reviews
100,Hotel MIDO Myeongdong,US$162,US$92,400 m from centre,Good,7.1,463 reviews
101,Chris Hostel,US$23,US$22,3.5 km from centre,Review score,5.0,25 reviews
102,Staz Hotel Myeongdong 2,US$61,US$58,0.8 km from centre,Good,7.8,810 reviews
103,First Stay Hotel,US$69,US$66,12.7 km from centre,Good,7.8,345 reviews
104,K Stay Guesthouse Myeongdong first,,US$42,0.6 km from centre,Fabulous,8.6,178 reviews
105,ibis Styles Ambassador Seoul Yongsan,,US$137,3.7 km from centre,Good,7.9,694 reviews
106,ARA125,US$50,US$47,450 m from centre,Exceptional,9.5,10 reviews
107,Insadong R Guesthouse,,US$41,1.4 km from centre,Good,7.8,178 reviews
108,Ibis Styles Ambassador Seoul Myeong-dong,,US$117,0.7 km from centre,Good,7.9,678 reviews
109,Hotel Prince Seoul,,US$90,450 m from centre,Very good,8.2,208 reviews
110,Seoul N Hotel Dongdaemun,US$241,US$94,3.7 km from centre,Good,7.4,"1,154 reviews"
111,Travelodge Myeongdong City Hall,,US$116,300 m from centre,Very good,8.5,221 reviews
112,Apollo Guesthouse,US$53,US$30,8.9 km from centre,Good,7.8,268 reviews
113,Hotel Uri&,US$146,US$139,8.9 km from centre,Very good,8.0,"1,041 reviews"
114,Seoul Riviera Hotel,,US$98,7.7 km from centre,Good,7.9,369 reviews
115,Kobos Hotel,,US$74,6.4 km from centre,Good,7.8,170 reviews
116,Yehadoye Guesthouse,,US$32,1.4 km from centre,Very good,8.4,37 reviews
117,Hotel Skypark Myeongdong 3,,US$99,0.6 km from centre,Very good,8.2,633 reviews
118,The Stay Hotel Myeongdong,US$74,US$70,500 m from centre,Review score,6.6,116 reviews
119,Hotel Manu Seoul,US$159,US$151,0.8 km from centre,Very good,8.3,292 reviews
