,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
0,Hotel Cullinan Yongin,"BDT 8,118","BDT 4,790",,Good,7.4,201 reviews
1,Kintex by K-tree,,"BDT 8,850",,Very good,8.2,312 reviews
2,La Casa hotel Gwangmyeong,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""dcf5ef1e-9e75-46ea-add9-6b44d65fab66"")>",,Very good,8.2,409 reviews
3,Nine Tree Premier Hotel Seoul Pangyo,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""c9416105-a3b1-4456-8c4f-2d2e4a734e1a"")>",,Very good,8.5,411 reviews
4,Intrada Icheon Hotel,,"BDT 10,230",,Very good,8.5,56 reviews
5,Browndot hotel songtan,,"BDT 5,480",,Very good,8.5,259 reviews
6,Sono Calm Goyang,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""db491e55-477d-4c32-9069-31184ebb4e4b"")>",,Very good,8.2,548 reviews
7,Ramada Encore by Wyndham Pyeongtaek,,"BDT 5,115",,Good,7.0,343 reviews
8,Urban-Est Hotel,,"BDT 8,119",,Fabulous,8.7,78 reviews
9,Western Bay Marina Hotel,,"BDT 6,913",,Good,7.9,118 reviews
10,Hotel Thesoom Forest,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""dad679d0-92e7-4305-89c4-7610ede2aafa"")>",,Very good,8.0,340 reviews
11,First Hotel,,"BDT 6,495",,Very good,8.3,146 reviews
12,Hotel Sienna,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""2ec1dd35-ff42-4c53-96f0-e543d5fcf08c"")>",,Good,7.8,350 reviews
13,MIRANDA HOTEL,,"BDT 5,480",,Review score,5.8,16 reviews
14,CS Premier Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""2f366623-c0a9-40d0-8e4d-8eb8dc202350"")>",,Good,7.0,67 reviews
15,Namyangju Bukhangang dolcecasa hotel,,"BDT 4,872",,Fabulous,8.6,158 reviews
16,Hotel Cielo,,"BDT 6,171",,Very good,8.5,10 reviews
17,Rolling Hills Hotel,,"BDT 20,631",,Very good,8.4,383 reviews
18,Militopia Hotel Wirye,,"BDT 7,299",,Very good,8.0,109 reviews
19,Aura Hotel,,"BDT 6,081",,Very good,8.5,130 reviews
20,Pyeongtaek Stay Tourist Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""acc26bb0-3317-4dfd-ade6-5f4a6522302a"")>",,Good,7.5,162 reviews
21,Namyangju Aone Hotel,,"BDT 6,901",,Very good,8.1,16 reviews
22,Courtyard by Marriott Seoul Pangyo,,"BDT 19,649",,Very good,8.2,370 reviews
23,Staz Hotel Premier Dongtan,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""b4a742be-1872-4d50-8576-02f5a29bcbd4"")>",,Very good,8.4,171 reviews
24,Ramada Encore by Wyndham Gimpo Han River Hotel,,"BDT 7,713",,Good,7.7,90 reviews
25,Suwon Dono1796 Hotel,"BDT 6,495","BDT 4,872",,Very good,8.0,258 reviews
