,Name,First Price,Price,Discount,Product_link,Image Link
0,LCS-8246 TRENDING DAY & DATE FUNCTIONING Analog Watch ...,"₹1,799",₹299,83% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
1,7088-SILVER DAY AND DATE WORKING Analog Watch - For Me...,"₹1,599",₹252,84% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
2,LCS-8188 TRENDING DAY & DATE FUNCTIONING Analog Watch ...,"₹1,799",₹299,83% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
3,38024PP25 Minimalists Analog Watch - For Men,,₹850,,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
4,New Combo Of Square Dial Black and White Silicone Strap...,"₹1,299",₹287,77% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
5,1251 BLACK Chronograph Digital Watch - For Men Digital ...,"₹1,999",₹282,85% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
6,1170-BL-BR Unique New Day & Date Analog Watch - For Me...,"₹1,699",₹299,82% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
7,LS2821 Bleed Blue Day and Date Functioning Strap Adult ...,"₹1,999",₹299,85% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
8,HL-2022 New Trending Full Black Round Waterproof Gym Fi...,"₹1,499",₹279,81% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
9,46-Shined Black Casual Casual Boys Designer Analog Watc...,"₹1,299",₹254,80% off,https://www.flipkart.com/lois-caron-lcs-8246-trending-day-date-functioning-analog-watch-boys/p/itm84aebd241e541?pid=WATFZ75NBENPQEQK&lid=LSTWATFZ75NBENPQEQKGHV42G&marketplace=FLIPKART&q=watch&store=r18%2Ff13&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_1_na_na_na&iid=en_pq1jSasu3uUgTbyUVv2Yb5QoGLvC%2BdC6Fbh1P5qkxprQDh%2BRvZ3hq62fEXEbB3m%2Fn5u7YThwkV9Ll6zEYqc09g%3D%3D&ssid=fxuyz6v1gg0000001673516565134&qH=d2974c96dc96b3f3,https://rukminim1.flixcart.com/image/612/612/kjom6q80-0/watch/f/k/e/lcs-8246-lois-caron-original-imafz75nxgvduazm.jpeg?q=70
