,Review
0,139
1,18
2,19
3,33
4,79
5,50
6,23
7,70
8,76
9,50
10,79
11,68
12,106
13,14
14,58
15,24
16,77
17,28
18,129
19,68
20,7
21,12
22,74
23,44
24,70
25,11
26,54
27,69
28,49
29,30
30,119
31,75
32,17
33,53
34,56
35,29
36,108
37,40
38,12
39,12
40,69
41,64
42,45
43,53
44,15
45,38
46,58
47,109
48,49
49,45
50,65
51,15
52,40
53,2
54,51
55,15
56,64
57,18
58,21
59,62
60,15
61,76
62,18
63,51
64,93
65,73
66,23
67,59
68,67
69,17
70,18
71,32
72,96
73,72
74,23
75,14
76,94
77,5
78,54
79,42
80,17
81,54
82,10
83,37
84,45
85,51
86,22
87,68
88,21
89,12
90,70
91,47
92,5
93,63
94,44
95,74
96,47
97,19
98,18
99,47
100,50
101,54
102,27
103,133
104,58
105,17
106,80
107,149
108,69
109,72
110,19
111,53
112,69
113,13
114,13
115,90
116,13
117,10
118,78
119,69
120,22
121,70
122,7
123,27
124,51
125,28
126,45
127,59
128,43
129,61
130,60
131,80
132,5
133,109
134,34
135,8
136,20
137,65
138,24
139,37
140,14
141,15
142,7
143,47
144,29
145,38
146,11
147,41
148,20
149,63
150,45
151,80
152,10
153,76
154,18
155,61
156,36
157,1
158,48
159,10
160,53
161,13
162,34
163,40
164,10
165,85
166,64
167,57
168,61
169,63
170,32
171,20
172,54
173,37
174,36
175,35
176,63
177,39
178,49
179,49
180,21
181,59
182,40
183,8
184,75
185,77
186,81
187,18
188,70
189,15
190,61
191,42
192,53
193,46
194,22
195,14
196,68
197,81
198,55
199,143
200,11
201,38
202,2
203,9
204,32
205,25
206,49
207,23
208,77
209,9
210,26
211,79
212,35
213,70
214,78
215,8
216,18
217,2
218,54
219,93
220,49
221,67
222,39
223,23
224,24
225,22
226,18
227,10
228,58
229,14
230,19
231,8
232,19
233,48
234,60
235,6
236,35
237,16
238,19
239,49
240,17
241,73
242,59
243,63
244,66
245,30
246,16
247,34
248,28
249,48
250,25
251,68
252,50
253,13
254,26
255,45
256,51
257,38
258,100
259,30
260,16
261,4
262,15
263,20
264,38
265,83
266,33
267,61
268,56
269,46
270,42
271,79
272,62
273,66
274,26
275,40
276,5
277,33
278,25
279,40
280,49
281,2
282,51
283,10
284,72
285,16
286,87
287,20
288,53
289,63
290,48
291,44
292,19
293,43
294,29
295,67
296,25
297,61
298,64
299,20
