,00501,Holtsville,NY
0,544,Holtsville,NY
1,1001,Agawam,MA
2,1002,Amherst,MA
3,1003,Amherst,MA
4,1004,Amherst,MA
5,1005,Barre,MA
6,1007,Belchertown,MA
7,1008,Blandford,MA
8,1009,Bondsville,MA
9,1010,Brimfield,MA
10,1011,Chester,MA
11,1012,Chesterfield,MA
12,1013,Chicopee,MA
13,1014,Chicopee,MA
14,1020,Chicopee,MA
15,1021,Chicopee,MA
16,1022,Chicopee,MA
17,1026,Cummington,MA
18,1027,Easthampton,MA
19,1028,East Longmeadow,MA
20,1029,East Otis,MA
21,1030,Feeding Hills,MA
22,1031,Gilbertville,MA
23,1032,Goshen,MA
24,1033,Granby,MA
25,1034,Granville,MA
26,1035,Hadley,MA
27,1036,Hampden,MA
28,1037,Hardwick,MA
29,1038,Hatfield,MA
30,1039,Haydenville,MA
31,1040,Holyoke,MA
32,1041,Holyoke,MA
33,1050,Huntington,MA
34,1053,Leeds,MA
35,1054,Leverett,MA
36,1056,Ludlow,MA
37,1057,Monson,MA
38,1059,North Amherst,MA
39,1060,Northampton,MA
40,1061,Northampton,MA
41,1062,Florence,MA
42,1063,Northampton,MA
43,1066,North Hatfield,MA
44,1068,Oakham,MA
45,1069,Palmer,MA
46,1070,Plainfield,MA
47,1071,Russell,MA
48,1072,Shutesbury,MA
49,1073,Southampton,MA
50,1074,South Barre,MA
51,1075,South Hadley,MA
52,1077,Southwick,MA
53,1079,Thorndike,MA
54,1080,Three Rivers,MA
55,1081,Wales,MA
56,1082,Ware,MA
57,1083,Warren,MA
58,1084,West Chesterfield,MA
59,1085,Westfield,MA
60,1086,Westfield,MA
61,1088,West Hatfield,MA
62,1089,West Springfield,MA
63,1090,West Springfield,MA
64,1092,West Warren,MA
65,1093,Whately,MA
66,1094,Wheelwright,MA
67,1095,Wilbraham,MA
68,1096,Williamsburg,MA
69,1097,Woronoco,MA
70,1098,Worthington,MA
71,1101,Springfield,MA
72,1102,Springfield,MA
73,1103,Springfield,MA
74,1104,Springfield,MA
75,1105,Springfield,MA
76,1106,Longmeadow,MA
77,1107,Springfield,MA
78,1108,Springfield,MA
79,1109,Springfield,MA
80,1111,Springfield,MA
81,1115,Springfield,MA
82,1116,Longmeadow,MA
83,1118,Springfield,MA
84,1119,Springfield,MA
85,1128,Springfield,MA
86,1129,Springfield,MA
87,1133,Springfield,MA
88,1138,Springfield,MA
89,1139,Springfield,MA
90,1144,Springfield,MA
91,1151,Indian Orchard,MA
92,1152,Springfield,MA
93,1195,Springfield,MA
94,1199,Springfield,MA
95,1201,Pittsfield,MA
96,1202,Pittsfield,MA
97,1203,Pittsfield,MA
98,1220,Adams,MA
99,1222,Ashley Falls,MA
100,1223,Becket,MA
101,1224,Berkshire,MA
102,1225,Cheshire,MA
103,1226,Dalton,MA
104,1227,Dalton,MA
105,1229,Glendale,MA
106,1230,Great Barrington,MA
107,1235,Hinsdale,MA
108,1236,Housatonic,MA
109,1237,Lanesboro,MA
110,1238,Lee,MA
111,1240,Lenox,MA
112,1242,Lenox Dale,MA
113,1243,Middlefield,MA
114,1244,Mill River,MA
115,1245,Monterey,MA
116,1247,North Adams,MA
117,1252,North Egremont,MA
118,1253,Otis,MA
119,1254,Richmond,MA
120,1255,Sandisfield,MA
121,1256,Savoy,MA
122,1257,Sheffield,MA
123,1258,South Egremont,MA
124,1259,Southfield,MA
125,1260,South Lee,MA
126,1262,Stockbridge,MA
127,1263,Stockbridge,MA
128,1264,Tyringham,MA
129,1266,West Stockbridge,MA
130,1267,Williamstown,MA
131,1270,Windsor,MA
132,1301,Greenfield,MA
133,1302,Greenfield,MA
134,1330,Ashfield,MA
135,1331,Athol,MA
136,1337,Bernardston,MA
137,1338,Buckland,MA
138,1339,Charlemont,MA
139,1340,Colrain,MA
140,1341,Conway,MA
141,1342,Deerfield,MA
142,1343,Drury,MA
143,1344,Erving,MA
144,1346,Heath,MA
145,1347,Lake Pleasant,MA
146,1349,Millers Falls,MA
147,1350,Monroe Bridge,MA
148,1351,Montague,MA
149,1354,Gill,MA
150,1355,New Salem,MA
151,1360,Northfield,MA
152,1364,Orange,MA
153,1366,Petersham,MA
154,1367,Rowe,MA
155,1368,Royalston,MA
156,1370,Shelburne Falls,MA
157,1373,South Deerfield,MA
158,1375,Sunderland,MA
159,1376,Turners Falls,MA
160,1378,Warwick,MA
161,1379,Wendell,MA
162,1380,Wendell Depot,MA
163,1420,Fitchburg,MA
164,1430,Ashburnham,MA
165,1431,Ashby,MA
166,1432,Ayer,MA
167,1434,Devens,MA
168,1436,Baldwinville,MA
169,1438,East Templeton,MA
170,1440,Gardner,MA
171,1441,Westminster,MA
172,1450,Groton,MA
173,1451,Harvard,MA
174,1452,Hubbardston,MA
175,1453,Leominster,MA
176,1460,Littleton,MA
177,1462,Lunenburg,MA
