,provider,name
0,Internet Provider,Optimum
1,Internet Provider,Verizon
2,Internet Provider,HughesNet
3,TV Provider,Optimum
4,TV Provider,DIRECTV
5,Utility,PSEG Long Island (Formerly Long Island Power)
6,Utility,Suffolk County Water Authority
7,Utility,National Grid - Gas
8,ELECTRIC Provider,Constellation
9,ELECTRIC Provider,Clearview Energy
10,Internet Provider,Xfinity
11,Internet Provider,Verizon
12,Internet Provider,Viasat
13,Internet Provider,HughesNet
14,TV Provider,Xfinity
15,TV Provider,DIRECTV
16,Utility,Columbia Gas Massachusetts
17,ELECTRIC Provider,Constellation
18,ELECTRIC Provider,Clearview Energy
19,Internet Provider,Xfinity
20,Internet Provider,Verizon
21,Internet Provider,Viasat
22,Internet Provider,HughesNet
23,TV Provider,Xfinity
24,TV Provider,DIRECTV
25,Utility,Eversource
26,Utility,National Grid - Electric
27,Internet Provider,Xfinity
28,Internet Provider,Verizon
29,Internet Provider,HughesNet
30,TV Provider,Xfinity
31,TV Provider,DIRECTV
32,Utility,Eversource
33,Utility,National Grid - Electric
34,ELECTRIC Provider,Clearview Energy
35,ELECTRIC Provider,Constellation
36,ELECTRIC Provider,Direct Energy
37,Internet Provider,Verizon
38,Internet Provider,Viasat
39,Internet Provider,HughesNet
40,Internet Provider,Xfinity
41,TV Provider,Xfinity
42,TV Provider,DIRECTV
43,Utility,Eversource
44,Utility,National Grid - Electric
45,ELECTRIC Provider,Clearview Energy
46,ELECTRIC Provider,Constellation
47,ELECTRIC Provider,Direct Energy
48,Internet Provider,Verizon
49,Internet Provider,Viasat
50,Internet Provider,HughesNet
51,Internet Provider,Xfinity
52,TV Provider,Xfinity
53,TV Provider,DIRECTV
54,Utility,Eversource
55,Utility,National Grid - Electric
56,Utility,National Grid - Electricity
57,ELECTRIC Provider,Constellation
58,ELECTRIC Provider,Clearview Energy
59,Internet Provider,Verizon
60,Internet Provider,HughesNet
61,Internet Provider,Xfinity
62,TV Provider,Xfinity
63,TV Provider,DIRECTV
64,Utility,Eversource
65,Utility,National Grid - Electric
66,Internet Provider,Xfinity
67,Internet Provider,Verizon
68,Internet Provider,HughesNet
69,TV Provider,Xfinity
70,TV Provider,DIRECTV
71,Utility,Eversource
72,Utility,National Grid - Electric
73,Utility,Osterman Propane
74,ELECTRIC Provider,Clearview Energy
75,ELECTRIC Provider,Constellation
76,ELECTRIC Provider,Direct Energy
77,Internet Provider,Verizon
78,Internet Provider,Cox
79,Internet Provider,Viasat
80,Internet Provider,HughesNet
81,Internet Provider,Xfinity
82,TV Provider,Cox
83,TV Provider,Xfinity
84,TV Provider,DIRECTV
85,Utility,Connecticut Light & Power (CL&P)
86,Utility,Columbia Gas Massachusetts
87,Utility,Florida Power & Light
88,Utility,National Grid - Electric
89,ELECTRIC Provider,Constellation
90,ELECTRIC Provider,Clearview Energy
91,Internet Provider,Verizon
92,Internet Provider,HughesNet
93,TV Provider,DIRECTV
94,Utility,Columbia Gas Massachusetts
95,ELECTRIC Provider,Constellation
96,ELECTRIC Provider,Clearview Energy
97,Internet Provider,Verizon
98,Internet Provider,Viasat
99,Internet Provider,HughesNet
100,Internet Provider,Xfinity
101,TV Provider,Xfinity
102,TV Provider,DIRECTV
103,Utility,Columbia Gas Massachusetts
104,Utility,National Grid - Electric
105,Utility,TruGreen
106,Internet Provider,Verizon
107,Internet Provider,HughesNet
108,TV Provider,DIRECTV
109,Utility,Columbia Gas Massachusetts
110,Utility,National Grid - Electric
111,Utility,TruGreen
112,ELECTRIC Provider,Constellation
113,ELECTRIC Provider,Clearview Energy
114,Internet Provider,Verizon
115,Internet Provider,Viasat
116,Internet Provider,HughesNet
117,Internet Provider,Xfinity
118,TV Provider,Xfinity
119,TV Provider,DIRECTV
120,Utility,Columbia Gas Massachusetts
121,Utility,National Grid - Electric
122,Utility,TruGreen
